rsm_name,customer_segment,support_status,credential,state,years_in_practice,practice_structure,referral_source,tests_interested_in,competitors_used,samples_per_week,hs_latest_source,customer_count,revenue,revenue_per_customer
Andrea Whitmarsh,Existing (Pre-2025),With Support,Others,CO,null,null,null,Gut Health,null,null,EMAIL_MARKETING,1,303432.97,303432.97
Andrea Whitmarsh,Existing (Pre-2025),With Support,DO,UT,null,null,null,null,null,null,OFFLINE,1,213135.2,213135.2
Andrea Whitmarsh,Existing (Pre-2025),With Support,Others,CO,4-10 years,null,Practitioner Referral,null,null,null,DIRECT_TRAFFIC,1,205828.87,205828.87
Andrea Whitmarsh,Existing (Pre-2025),With Support,NP,CO,null,null,null,Longevity,null,null,DIRECT_TRAFFIC,1,190347.53,190347.53
Andrea Whitmarsh,Existing (Pre-2025),With Support,MD,CO,11+ years,null,Patient Requested Testing,Gut Health;Neural Health;Toxins;Nutrients;Autoimmune;Cardiovascular Health;Food Reactions;Hormones;Infections;Longevity,null,21+,ORGANIC_SEARCH,1,169058.95,169058.95
Andrea Whitmarsh,Existing (Pre-2025),With Support,DC,CO,11+ years,null,null,null,null,4-10,DIRECT_TRAFFIC,2,153923.06,76961.53
Andrea Whitmarsh,Existing (Pre-2025),With Support,Others,CO,null,null,null,Infections;Lyme - Tickborne,null,null,DIRECT_TRAFFIC,1,143367.41,143367.41
Andrea Whitmarsh,Existing (Pre-2025),With Support,ND,CO,null,null,null,null,null,null,OFFLINE,2,126739.11,63369.55
Andrea Whitmarsh,Existing (Pre-2025),With Support,ND,CO,null,null,null,Gut Health,null,null,EMAIL_MARKETING,2,117812.34,58906.17
Andrea Whitmarsh,Existing (Pre-2025),With Support,DO,CO,0-3 years,null,Practitioner Referral,Autoimmune;Cardiovascular Health;Food Reactions;Gut Health;Hormones;Infections;Longevity;Neural Health;Nutrients;Toxins,null,4-10,EMAIL_MARKETING,1,113179.0,113179.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,DC,CO,11+ years,null,null,Gut Health,Diagnostic Solutions,null,DIRECT_TRAFFIC,1,112845.99,112845.99
Andrea Whitmarsh,Existing (Pre-2025),With Support,MD,NV,11+ years,null,Conference/Event,null,null,1-3,ORGANIC_SEARCH,1,103927.23,103927.23
Andrea Whitmarsh,Existing (Pre-2025),With Support,DC,CO,11+ years,null,null,Food Reactions,Doctors Data,11-20,DIRECT_TRAFFIC,1,93299.74,93299.74
Andrea Whitmarsh,Existing (Pre-2025),With Support,MD,UT,null,null,null,null,null,null,EMAIL_MARKETING,2,89596.4,44798.2
Andrea Whitmarsh,Existing (Pre-2025),With Support,MD,TX,4-10 years,null,Vibrant Sales Rep,null,null,21+,DIRECT_TRAFFIC,1,85717.8,85717.8
Andrea Whitmarsh,Existing (Pre-2025),With Support,NP,CO,null,null,null,null,null,null,OFFLINE,5,78846.12,15769.22
Andrea Whitmarsh,Existing (Pre-2025),With Support,MD,CO,null,null,null,null,null,null,EMAIL_MARKETING,3,78155.7,26051.9
Andrea Whitmarsh,Existing (Pre-2025),With Support,ND,CO,11+ years,null,null,null,Diagnostic Solutions;IGeneX;Dutch;Cyrex Labs;Genova,4-10,DIRECT_TRAFFIC,1,77978.0,77978.0
Andrea Whitmarsh,Existing (Pre-2025),With Support,NP,UT,null,null,Conference/Event,null,null,null,EMAIL_MARKETING,1,71352.58,71352.58
Andrea Whitmarsh,Existing (Pre-2025),With Support,DO,CO,null,null,null,Toxins,null,null,OFFLINE,1,68907.95,68907.95
